Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11
7.800000e+002	3.4530e-019	5.3435e-013	1.3981e-009	3.1495e-007	1.7837e-005	3.8948e-004	4.0108e-003	2.1281e-002	5.7976e-002	6.7761e-002	-2.2467e-003
7.900000e+002	1.3444e-019	2.5839e-013	7.6368e-010	1.8856e-007	1.1554e-005	2.7152e-004	3.0090e-003	1.7283e-002	5.1870e-002	7.1068e-002	1.3451e-002
8.000000e+002	5.2218e-020	1.2454e-013	4.1552e-010	1.1236e-007	7.4430e-006	1.8803e-004	2.2391e-003	1.3887e-002	4.5679e-002	7.1969e-002	2.8293e-002
8.100000e+002	2.0236e-020	5.9845e-014	2.2522e-010	6.6654e-008	4.7690e-006	1.2939e-004	1.6532e-003	1.1047e-002	3.9647e-002	7.0800e-002	4.1483e-002
8.200000e+002	7.8248e-021	2.8668e-014	1.2162e-010	3.9365e-008	3.0398e-006	8.8486e-005	1.2115e-003	8.7043e-003	3.3953e-002	6.7953e-002	5.2457e-002
8.300000e+002	3.0190e-021	1.3692e-014	6.5439e-011	2.3149e-008	1.9279e-006	6.0154e-005	8.8144e-004	6.7964e-003	2.8715e-002	6.3828e-002	6.0890e-002
8.400000e+002	1.1623e-021	6.5208e-015	3.5085e-011	1.3556e-008	1.2167e-006	4.0657e-005	6.3686e-004	5.2609e-003	2.4002e-002	5.8812e-002	6.6665e-002
8.500000e+002	4.4655e-022	3.0966e-015	1.8745e-011	7.9060e-009	7.6418e-007	2.7326e-005	4.5708e-004	4.0387e-003	1.9842e-002	5.3256e-002	6.9850e-002
8.600000e+002	1.7121e-022	1.4664e-015	9.9817e-012	4.5926e-009	4.7775e-007	1.8267e-005	3.2594e-004	3.0759e-003	1.6232e-002	4.7459e-002	7.0644e-002
8.700000e+002	6.5510e-023	6.9253e-016	5.2976e-012	2.6575e-009	2.9734e-007	1.2147e-005	2.3097e-004	2.3246e-003	1.3146e-002	4.1664e-002	6.9346e-002
8.800000e+002	2.5017e-023	3.2619e-016	2.8025e-012	1.5319e-009	1.8424e-007	8.0358e-006	1.6268e-004	1.7438e-003	1.0543e-002	3.6058e-002	6.6307e-002
8.900000e+002	9.5348e-024	1.5323e-016	1.4779e-012	8.7983e-010	1.1367e-007	5.2895e-006	1.1390e-004	1.2986e-003	8.3747e-003	3.0777e-002	6.1895e-002
9.000000e+002	3.6272e-024	7.1802e-017	7.7695e-013	5.0348e-010	6.9839e-008	3.4646e-006	7.9277e-005	9.5989e-004	6.5882e-003	2.5907e-002	5.6472e-002
9.100000e+002	1.3772e-024	3.3560e-017	4.0722e-013	2.8709e-010	4.2728e-008	2.2580e-006	5.4844e-005	7.0413e-004	5.1302e-003	2.1493e-002	5.0369e-002
9.200000e+002	5.2199e-025	1.5647e-017	2.1279e-013	1.6311e-010	2.6029e-008	1.4639e-006	3.7693e-005	5.1215e-004	3.9496e-003	1.7548e-002	4.3872e-002
9.300000e+002	1.9748e-025	7.2774e-018	1.1084e-013	9.2318e-011	1.5780e-008	9.4336e-007	2.5704e-005	3.6870e-004	2.9989e-003	1.4060e-002	3.7213e-002
9.400000e+002	7.4576e-026	3.3757e-018	5.7535e-014	5.2003e-011	9.5075e-009	6.0292e-007	1.7339e-005	2.6168e-004	2.2352e-003	1.0994e-002	3.0568e-002
9.500000e+002	2.8105e-026	1.5602e-018	2.9701e-014	2.9066e-011	5.6678e-009	3.8001e-007	1.1489e-005	1.8158e-004	1.6197e-003	8.3036e-003	2.4060e-002
9.600000e+002	1.0552e-026	7.1518e-019	1.5134e-014	1.5957e-011	3.3013e-009	2.3270e-007	7.3513e-006	1.2087e-004	1.1181e-003	5.9292e-003	1.7753e-002
9.700000e+002	3.8958e-027	3.1774e-019	7.3878e-015	8.3057e-012	1.8057e-009	1.3258e-007	4.3376e-006	7.3552e-005	6.9940e-004	3.8037e-003	1.1664e-002
9.800000e+002	1.2783e-027	1.2039e-019	2.9990e-015	3.5277e-012	7.9338e-010	5.9864e-008	2.0038e-006	3.4657e-005	3.3534e-004	1.8525e-003	5.7644e-003
9.900000e+002	-9.2264e-030	-6.9163e-022	-1.5351e-017	-1.6695e-014	-3.5347e-012	-2.5380e-010	-8.1426e-009	-1.3568e-007	-1.2697e-006	-6.8041e-006	-2.0572e-005
1.000000e+003	7.6719e-029	7.1771e-021	1.7834e-016	2.0948e-013	4.7065e-011	3.5486e-009	1.1871e-007	2.0522e-006	1.9849e-005	1.0961e-004	3.4097e-004
