Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12	el Psi 13	el Psi 14	el Psi 15
4.500000e+002	4.5061e-008	2.4968e-006	1.3485e-005	2.5428e-004	6.2781e-003	3.8454e-002	8.2458e-002	4.5931e-002	-5.1715e-002	-8.0233e-003	4.3947e-002	-4.1378e-002	1.7999e-002	8.5976e-003	-3.0610e-002
4.600000e+002	2.1132e-008	1.2866e-006	7.5148e-006	1.5177e-004	4.3279e-003	3.0349e-002	7.6382e-002	6.1627e-002	-3.8009e-002	-2.9038e-002	4.9391e-002	-2.9031e-002	-2.7827e-003	2.7522e-002	-3.9834e-002
4.700000e+002	9.8476e-009	6.5808e-007	4.1527e-006	8.9718e-005	2.9449e-003	2.3509e-002	6.8513e-002	7.2672e-002	-1.9746e-002	-4.5433e-002	4.5255e-002	-1.0146e-002	-2.2859e-002	3.8753e-002	-3.6887e-002
4.800000e+002	4.5612e-009	3.3426e-007	2.2766e-006	5.2561e-005	1.9796e-003	1.7902e-002	5.9775e-002	7.9016e-002	6.7253e-004	-5.5089e-002	3.2829e-002	1.0914e-002	-3.7389e-002	3.9570e-002	-2.3067e-002
4.900000e+002	2.1005e-009	1.6865e-007	1.2386e-006	3.0530e-005	1.3156e-003	1.3420e-002	5.0897e-002	8.1066e-002	2.1024e-002	-5.7147e-002	1.4730e-002	2.9748e-002	-4.3234e-002	3.0163e-002	-2.6855e-003
5.000000e+002	9.6200e-010	8.4555e-008	6.6904e-007	1.7590e-005	8.6500e-004	9.9147e-003	4.2408e-002	7.9521e-002	3.9509e-002	-5.1891e-002	-5.7683e-003	4.2807e-002	-3.9468e-002	1.3263e-002	1.8433e-002
5.100000e+002	4.3825e-010	4.2135e-008	3.5890e-007	1.0056e-005	5.6298e-004	7.2265e-003	3.4651e-002	7.5213e-002	5.4866e-002	-4.0494e-002	-2.5383e-002	4.7970e-002	-2.7307e-002	-6.8043e-003	3.4670e-002
5.200000e+002	1.9863e-010	2.0874e-008	1.9126e-007	5.7067e-006	3.6292e-004	5.2009e-003	2.7814e-002	6.8991e-002	6.6388e-002	-2.4681e-002	-4.1343e-002	4.4729e-002	-9.5911e-003	-2.5310e-002	4.2047e-002
5.300000e+002	8.9593e-011	1.0283e-008	1.0129e-007	3.2157e-006	2.3183e-004	3.6990e-003	2.1965e-002	6.1631e-002	7.3866e-002	-6.3965e-003	-5.1724e-002	3.4053e-002	9.9892e-003	-3.8233e-002	3.9057e-002
5.400000e+002	4.0221e-011	5.0389e-009	5.3313e-008	1.7999e-006	1.4681e-004	2.6016e-003	1.7086e-002	5.3792e-002	7.7485e-002	1.2472e-002	-5.5572e-002	1.8013e-002	2.7714e-002	-4.3058e-002	2.6776e-002
5.500000e+002	1.7975e-011	2.4564e-009	2.7900e-008	1.0009e-006	9.2209e-005	1.8106e-003	1.3107e-002	4.5985e-002	7.7710e-002	3.0306e-002	-5.2870e-002	-7.1279e-004	4.0524e-002	-3.9123e-002	8.3502e-003
5.600000e+002	7.9980e-012	1.1915e-009	1.4519e-008	5.5316e-007	5.7460e-005	1.2476e-003	9.9243e-003	3.8583e-002	7.5163e-002	4.5871e-002	-4.4368e-002	-1.9338e-002	4.6478e-002	-2.7548e-002	-1.1923e-002
5.700000e+002	3.5438e-012	5.7518e-010	7.5152e-009	3.0389e-007	3.5538e-005	8.5152e-004	7.4232e-003	3.1823e-002	7.0530e-002	5.8367e-002	-3.1348e-002	-3.5391e-002	4.4937e-002	-1.0812e-002	-2.9652e-002
5.800000e+002	1.5638e-012	2.7638e-010	3.8699e-009	1.6599e-007	2.1821e-005	5.7599e-004	5.4890e-003	2.5840e-002	6.4482e-002	6.7405e-002	-1.5378e-002	-4.7007e-002	3.6495e-002	7.8667e-003	-4.1281e-002
5.900000e+002	6.8738e-013	1.3221e-010	1.9828e-009	9.0167e-008	1.3306e-005	3.8629e-004	4.0151e-003	2.0680e-002	5.7623e-002	7.2954e-002	1.9241e-003	-5.3082e-002	2.2720e-002	2.5191e-002	-4.4727e-002
6.000000e+002	3.0099e-013	6.2969e-011	1.0110e-009	4.8718e-008	8.0603e-006	2.5695e-004	2.9070e-003	1.6328e-002	5.0457e-002	7.5256e-002	1.9074e-002	-5.3284e-002	5.7909e-003	3.8360e-002	-3.9631e-002
6.100000e+002	1.3131e-013	2.9867e-011	5.1311e-010	2.6188e-008	4.8515e-006	1.6958e-004	2.0844e-003	1.2731e-002	4.3379e-002	7.4742e-002	3.4844e-002	-4.7970e-002	-1.1901e-002	4.5474e-002	-2.7247e-002
6.200000e+002	5.7081e-014	1.4108e-011	2.5924e-010	1.4007e-008	2.9021e-006	1.1108e-004	1.4808e-003	9.8098e-003	3.6677e-002	7.1947e-002	4.8336e-002	-3.8019e-002	-2.8107e-002	4.5723e-002	-1.0040e-002
6.300000e+002	2.4727e-014	6.6384e-012	1.3040e-010	7.4558e-009	1.7258e-006	7.2241e-005	1.0428e-003	7.4751e-003	3.0538e-002	6.7439e-002	5.8991e-002	-2.4649e-002	-4.0992e-002	3.9377e-002	8.8765e-003
6.400000e+002	1.0675e-014	3.1116e-012	6.5317e-011	3.9502e-009	1.0204e-006	4.6657e-005	7.2818e-004	5.6365e-003	2.5069e-002	6.1767e-002	6.6570e-002	-9.2245e-003	-4.9303e-002	2.7609e-002	2.6340e-002
6.500000e+002	4.5938e-015	1.4531e-012	3.2583e-011	2.0834e-009	5.9999e-007	2.9933e-005	5.0441e-004	4.2080e-003	2.0309e-002	5.5424e-002	7.1106e-002	6.9105e-003	-5.2427e-002	1.2216e-002	3.9659e-002
6.600000e+002	1.9705e-015	6.7616e-013	1.6188e-011	1.0940e-009	3.5091e-007	1.9081e-005	3.4673e-004	3.1120e-003	1.6252e-002	4.8826e-002	7.2833e-002	2.2557e-002	-5.0364e-002	-4.7042e-003	4.6986e-002
6.700000e+002	8.4261e-016	3.1353e-013	8.0120e-012	5.7206e-010	2.0418e-007	1.2088e-005	2.3658e-004	2.2807e-003	1.2856e-002	4.2301e-002	7.2129e-002	3.6745e-002	-4.3624e-002	-2.1065e-002	4.7501e-002
6.800000e+002	3.5922e-016	1.4489e-013	3.9504e-012	2.9789e-010	1.1820e-007	7.6125e-006	1.6028e-004	1.6572e-003	1.0059e-002	3.6091e-002	6.9447e-002	4.8778e-002	-3.3094e-002	-3.5046e-002	4.1412e-002
6.900000e+002	1.5269e-016	6.6731e-014	1.9406e-012	1.5450e-010	6.8100e-008	4.7664e-006	1.0785e-004	1.1943e-003	7.7899e-003	3.0362e-002	6.5266e-002	5.8234e-002	-1.9882e-002	-4.5272e-002	2.9808e-002
7.000000e+002	6.4718e-017	3.0636e-014	9.4991e-013	7.9816e-011	3.9049e-008	2.9677e-006	7.2094e-005	8.5396e-004	5.9740e-003	2.5209e-002	6.0048e-002	6.4946e-002	-5.1718e-003	-5.0906e-002	1.4405e-002
7.100000e+002	2.7354e-017	1.4020e-014	4.6336e-013	4.1078e-011	2.2289e-008	1.8378e-006	4.7887e-005	6.0600e-004	4.5391e-003	2.0675e-002	5.4214e-002	6.8960e-002	9.8990e-003	-5.1661e-002	-2.7545e-003
7.200000e+002	1.1530e-017	6.3967e-015	2.2526e-013	2.1063e-011	1.2666e-008	1.1322e-006	3.1613e-005	4.2693e-004	3.4184e-003	1.6764e-002	4.8118e-002	7.0488e-002	2.4333e-002	-4.7747e-002	-1.9593e-002
7.300000e+002	4.8467e-018	2.9097e-015	1.0915e-013	1.0761e-011	7.1663e-009	6.9392e-007	2.0746e-005	2.9868e-004	2.5528e-003	1.3446e-002	4.2048e-002	6.9853e-002	3.7334e-002	-3.9774e-002	-3.4256e-002
7.400000e+002	2.0321e-018	1.3197e-015	5.2715e-014	5.4787e-012	4.0377e-009	4.2322e-007	1.3537e-005	2.0756e-004	1.8910e-003	1.0675e-002	3.6222e-002	6.7440e-002	4.8332e-002	-2.8629e-002	-4.5295e-002
7.500000e+002	8.4986e-019	5.9683e-016	2.5380e-014	2.7797e-012	2.2656e-009	2.5689e-007	8.7841e-006	1.4330e-004	1.3900e-003	8.3939e-003	3.0793e-002	6.3658e-002	5.6984e-002	-1.5348e-002	-5.1775e-002
7.600000e+002	3.5454e-019	2.6916e-016	1.2182e-014	1.4056e-012	1.2662e-009	1.5521e-007	5.6693e-006	9.8324e-005	1.0141e-003	6.5395e-003	2.5857e-002	5.8907e-002	6.3161e-002	-9.9952e-004	-5.3305e-002
7.700000e+002	1.4754e-019	1.2106e-016	5.8294e-015	7.0848e-013	7.0493e-010	9.3347e-008	3.6400e-006	6.7054e-005	7.3462e-004	5.0503e-003	2.1463e-002	5.3550e-002	6.6906e-002	1.3413e-002	-5.0005e-002
7.800000e+002	6.1252e-020	5.4302e-017	2.7814e-015	3.5596e-013	3.9096e-010	5.5895e-008	2.3252e-006	4.5462e-005	5.2851e-004	3.8677e-003	1.7624e-002	4.7904e-002	6.8401e-002	2.7025e-002	-4.2416e-002
7.900000e+002	2.5370e-020	2.4294e-017	1.3233e-015	1.7828e-013	2.1603e-010	3.3327e-008	1.4780e-006	3.0649e-005	3.7771e-004	2.9384e-003	1.4323e-002	4.2227e-002	6.7922e-002	3.9152e-002	-3.1391e-002
