Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12	el Psi 13	el Psi 14
8.800000e+002	2.0290e-025	-2.0022e-031	5.5214e-019	-5.6410e-006	1.7501e-015	5.1403e-013	4.4612e-011	1.7996e-009	4.2062e-008	6.4391e-007	6.9533e-006	5.5522e-005	3.3789e-004	1.5964e-003
8.900000e+002	6.3971e-026	-6.9013e-032	2.0397e-019	-1.4080e-005	7.0299e-016	2.1972e-013	2.0115e-011	8.5251e-010	2.0898e-008	3.3538e-007	3.7988e-006	3.1863e-005	2.0417e-004	1.0190e-003
9.000000e+002	2.0052e-026	-2.3634e-032	7.4817e-020	-3.5423e-005	2.8016e-016	9.3112e-014	8.9857e-012	3.9981e-010	1.0271e-008	1.7265e-007	2.0493e-006	1.8035e-005	1.2149e-004	6.3949e-004
9.100000e+002	6.2491e-027	-8.0414e-033	2.7251e-020	-8.9821e-005	1.1078e-016	3.9123e-014	3.9773e-012	1.8566e-010	4.9945e-009	8.7867e-008	1.0919e-006	1.0071e-005	7.1232e-005	3.9471e-004
9.200000e+002	1.9364e-027	-2.7187e-033	9.8572e-021	-2.2954e-004	4.3462e-017	1.6300e-014	1.7445e-012	8.5378e-011	2.4034e-009	4.4217e-008	5.7471e-007	5.5493e-006	4.1158e-005	2.3971e-004
9.300000e+002	5.9662e-028	-9.1338e-034	3.5410e-021	-5.9112e-004	1.6918e-017	6.7346e-015	7.5827e-013	3.8883e-011	1.1445e-009	2.2002e-008	2.9884e-007	3.0176e-006	2.3437e-005	1.4323e-004
9.400000e+002	1.8279e-028	-3.0495e-034	1.2636e-021	-1.5339e-003	6.5255e-018	2.7583e-015	3.2654e-013	1.7531e-011	5.3920e-010	1.0821e-008	1.5343e-007	1.6182e-006	1.3141e-005	8.4107e-005
9.500000e+002	5.5694e-029	-1.0121e-034	4.4829e-022	-4.0104e-003	2.4724e-018	1.1172e-015	1.3903e-013	7.8099e-012	2.5074e-010	5.2473e-009	7.7557e-008	8.5291e-007	7.2273e-006	4.8320e-005
9.600000e+002	1.6890e-029	-3.3471e-035	1.5926e-022	-1.0564e-002	8.6232e-019	4.4068e-016	5.7834e-014	3.3994e-012	1.1382e-010	2.4799e-009	3.8131e-008	4.3613e-007	3.8441e-006	2.6746e-005
9.700000e+002	5.1451e-030	-1.1271e-035	5.9845e-023	-2.8033e-002	1.1865e-019	1.5193e-016	2.1820e-014	1.3572e-012	4.7584e-011	1.0803e-009	1.7260e-008	2.0481e-007	1.8711e-006	1.3486e-005
9.800000e+002	1.7282e-030	-4.5909e-036	3.2672e-023	-7.4934e-002	-5.0382e-019	-5.7665e-019	3.2168e-015	2.8327e-013	1.1692e-011	2.9439e-010	5.0750e-009	6.3996e-008	6.1553e-007	4.6419e-006
9.900000e+002	1.1371e-030	-4.3091e-036	4.5481e-023	-2.0175e-001	-1.6492e-018	-1.5361e-016	-1.2766e-014	-5.8391e-013	-1.6551e-011	-3.1936e-010	-4.4721e-009	-4.7476e-008	-3.9378e-007	-2.6050e-006
1.000000e+003	-1.0178e-030	4.2424e-036	-4.8161e-023	2.2971e-001	1.9037e-018	1.8874e-016	1.6527e-014	7.9237e-013	2.3472e-011	4.7247e-010	6.8944e-009	7.6218e-008	6.5810e-007	4.5317e-006
