Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12	el Psi 13
5.600000e+002	3.7216e-011	-2.8712e-017	7.8254e-007	1.4579e-004	3.8497e-003	2.9782e-002	8.0406e-002	4.8976e-002	-5.5053e-002	4.9173e-003	3.3585e-002	-4.5316e-002	3.5101e-002
5.700000e+002	1.4859e-011	-1.2846e-017	4.0831e-007	8.8934e-005	2.6645e-003	2.3336e-002	7.3341e-002	6.3684e-002	-4.3874e-002	-1.6068e-002	4.5541e-002	-4.1760e-002	1.6879e-002
5.800000e+002	5.9079e-012	-5.7193e-018	2.1171e-007	5.3798e-005	1.8239e-003	1.8002e-002	6.5144e-002	7.4139e-002	-2.7868e-002	-3.4687e-002	4.9294e-002	-2.9430e-002	-5.4011e-003
5.900000e+002	2.3394e-012	-2.5341e-018	1.0911e-007	3.2284e-005	1.2354e-003	1.3688e-002	5.6528e-002	8.0312e-002	-9.0482e-003	-4.8508e-002	4.4610e-002	-1.1182e-002	-2.6431e-002
6.000000e+002	9.2272e-013	-1.1177e-018	5.5908e-008	1.9227e-005	8.2859e-004	1.0269e-002	4.8040e-002	8.2542e-002	1.0607e-002	-5.6041e-002	3.2679e-002	9.2178e-003	-4.1574e-002
6.100000e+002	3.6258e-013	-4.9081e-019	2.8489e-008	1.1367e-005	5.5053e-004	7.6081e-003	4.0065e-002	8.1417e-002	2.9373e-002	-5.6783e-002	1.5715e-002	2.7922e-002	-4.7808e-002
6.200000e+002	1.4195e-013	-2.1461e-019	1.4439e-008	6.6740e-006	3.6253e-004	5.5704e-003	3.2847e-002	7.7647e-002	4.5915e-002	-5.1107e-002	-3.5409e-003	4.1717e-002	-4.4187e-002
6.300000e+002	5.5380e-014	-9.3453e-020	7.2807e-009	3.8923e-006	2.3671e-004	4.0334e-003	2.6508e-002	7.1970e-002	5.9344e-002	-4.0059e-002	-2.2309e-002	4.8508e-002	-3.1809e-002
6.400000e+002	2.1532e-014	-4.0534e-020	3.6530e-009	2.2555e-006	1.5330e-004	2.8900e-003	2.1083e-002	6.5080e-002	6.9206e-002	-2.5110e-002	-3.8171e-002	4.7529e-002	-1.3370e-002
6.500000e+002	8.3440e-015	-1.7513e-020	1.8240e-009	1.2989e-006	9.8517e-005	2.0503e-003	1.6542e-002	5.7579e-002	7.5428e-002	-7.9031e-003	-4.9348e-002	3.9292e-002	7.5150e-003
6.600000e+002	3.2231e-015	-7.5387e-021	9.0659e-010	7.4361e-007	6.2841e-005	1.4409e-003	1.2817e-002	4.9957e-002	7.8229e-002	9.9571e-003	-5.4827e-002	2.5342e-002	2.7080e-002
6.700000e+002	1.2411e-015	-3.2334e-021	4.4858e-010	4.2327e-007	3.9800e-005	1.0035e-003	9.8132e-003	4.2584e-002	7.8039e-002	2.7065e-002	-5.4363e-002	7.8849e-003	4.2077e-002
6.800000e+002	4.7650e-016	-1.3820e-021	2.2099e-010	2.3960e-007	2.5034e-005	6.9299e-004	7.4299e-003	3.5717e-002	7.5402e-002	4.2315e-002	-4.8382e-002	-1.0608e-002	5.0268e-002
