Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12	el Psi 13	el Psi 14	el Psi 15	el Psi 16	el Psi 17
5.500000e+002	7.9896e-011	-4.6743e-013	1.0321e-006	1.4562e-004	-6.7477e-014	3.2844e-003	2.4279e-002	7.2816e-002	7.7180e-002	-2.3649e-002	-5.1401e-002	4.7588e-002	3.0193e-003	-4.2705e-002	4.5202e-002	-1.7866e-002	-1.8341e-002
5.600000e+002	3.1309e-011	-1.8767e-013	5.2191e-007	8.5381e-005	-1.0424e-013	2.1725e-003	1.8098e-002	6.2607e-002	8.4965e-002	1.5036e-003	-6.2165e-002	2.7669e-002	3.0133e-002	-5.0640e-002	2.7834e-002	1.1863e-002	-4.0952e-002
5.700000e+002	1.2195e-011	-7.4877e-014	2.6161e-007	4.9493e-005	-1.6358e-013	1.4162e-003	1.3230e-002	5.2243e-002	8.7013e-002	2.6467e-002	-6.1766e-002	1.3981e-003	4.8908e-002	-4.2288e-002	3.1569e-004	3.6774e-002	-4.5237e-002
5.800000e+002	4.7220e-012	-2.9693e-014	1.3001e-007	2.8376e-005	-2.6050e-013	9.1041e-004	9.4957e-003	4.2439e-002	8.4334e-002	4.8446e-002	-5.1093e-002	-2.5176e-002	5.4793e-002	-2.0892e-002	-2.7313e-002	4.7232e-002	-2.9875e-002
5.900000e+002	1.8178e-012	-1.1704e-014	6.4080e-008	1.6096e-005	-4.2067e-013	5.7749e-004	6.6986e-003	3.3643e-002	7.8172e-002	6.5596e-002	-3.2586e-002	-4.6630e-002	4.6951e-002	6.6754e-003	-4.5699e-002	3.9742e-002	-1.9272e-003
6.000000e+002	6.9583e-013	-4.5867e-015	3.1327e-008	9.0373e-006	-6.8836e-013	3.6164e-004	4.6488e-003	2.6078e-002	6.9783e-002	7.7046e-002	-9.5005e-003	-5.9200e-002	2.7948e-002	3.2356e-002	-4.9206e-002	1.7660e-002	2.6808e-002
6.100000e+002	2.6487e-013	-1.7871e-015	1.5195e-008	5.0235e-006	-1.1407e-012	2.2369e-004	3.1764e-003	1.9798e-002	6.0292e-002	8.2780e-002	1.4800e-002	-6.1243e-002	2.6568e-003	4.9304e-002	-3.7317e-002	-1.0682e-002	4.4933e-002
6.200000e+002	1.0028e-013	-6.9241e-016	7.3130e-009	2.7653e-006	-1.9135e-012	1.3672e-004	2.1384e-003	1.4740e-002	5.0603e-002	8.3408e-002	3.7393e-002	-5.3160e-002	-2.3199e-002	5.3562e-002	-1.4219e-002	-3.5371e-002	4.5837e-002
6.300000e+002	3.7759e-014	-2.6678e-016	3.4931e-009	1.5079e-006	-3.2472e-012	8.2603e-005	1.4192e-003	1.0775e-002	4.1376e-002	7.9925e-002	5.6139e-002	-3.6948e-002	-4.4413e-002	4.4697e-002	1.2974e-002	-4.8403e-002	2.9741e-002
6.400000e+002	1.4143e-014	-1.0223e-016	1.6561e-009	8.1472e-007	-5.5730e-012	4.9354e-005	9.2920e-004	7.7423e-003	3.3033e-002	7.3484e-002	6.9795e-002	-1.5539e-002	-5.7284e-002	2.5430e-002	3.6590e-002	-4.6076e-002	2.9804e-003
6.500000e+002	5.2697e-015	-3.8964e-017	7.7952e-010	4.3624e-007	-9.6688e-012	2.9170e-005	6.0043e-004	5.4725e-003	2.5798e-002	6.5215e-002	7.7974e-002	7.8675e-003	-6.0090e-002	5.5427e-004	5.0562e-002	-2.9689e-002	-2.4813e-002
6.600000e+002	1.9535e-015	-1.4773e-017	3.6430e-010	2.3153e-007	-1.6952e-011	1.7059e-005	3.8310e-004	3.8081e-003	1.9739e-002	5.6110e-002	8.0972e-002	3.0357e-002	-5.3064e-002	-2.4437e-002	5.1817e-002	-4.6005e-003	-4.4309e-002
6.700000e+002	7.2049e-016	-5.5715e-018	1.6906e-010	1.2183e-007	-3.0028e-011	9.8751e-006	2.4146e-004	2.6107e-003	1.4816e-002	4.6958e-002	7.9559e-002	4.9675e-002	-3.7990e-002	-4.4626e-002	4.0660e-002	2.1782e-002	-4.9519e-002
6.800000e+002	2.6441e-016	-2.0905e-018	7.7916e-011	6.3571e-008	-5.3718e-011	5.6594e-006	1.5040e-004	1.7643e-003	1.0921e-002	3.8324e-002	7.4757e-002	6.4392e-002	-1.7604e-002	-5.6572e-002	2.0245e-002	4.2299e-002	-3.9350e-002
