V	C (Fcm-2)	Initcharge (cm-2)	Finalcharge (cm-2)	ns Total (cm-2)	ps Total (cm-2)
1.100e+000	4.8028e-007	-1.3709e+013	-1.3679e+013	1.3679e+013	5.2500e-015
1.150e+000	4.8060e-007	-1.3858e+013	-1.3828e+013	1.3828e+013	5.2500e-015
1.200e+000	4.8132e-007	-1.4009e+013	-1.3979e+013	1.3978e+013	5.2500e-015
1.250e+000	4.8401e-007	-1.4159e+013	-1.4129e+013	1.4129e+013	5.2500e-015
1.300e+000	4.9697e-007	-1.4312e+013	-1.4281e+013	1.4281e+013	5.2500e-015
1.350e+000	5.6234e-007	-1.4477e+013	-1.4442e+013	1.4442e+013	5.2500e-015
1.400e+000	8.5376e-007	-1.4698e+013	-1.4644e+013	1.4644e+013	5.2500e-015
1.450e+000	1.6155e-006	-1.5096e+013	-1.4995e+013	1.4995e+013	5.2500e-015
1.500e+000	2.4714e-006	-1.5766e+013	-1.5611e+013	1.5611e+013	5.2500e-015
1.550e+000	3.0448e-006	-1.6651e+013	-1.6461e+013	1.6461e+013	5.2500e-015
1.600e+000	3.4114e-006	-1.7674e+013	-1.7461e+013	1.7461e+013	5.2500e-015
1.650e+000	3.6709e-006	-1.8789e+013	-1.8560e+013	1.8560e+013	5.2500e-015
1.700e+000	3.8724e-006	-1.9973e+013	-1.9732e+013	1.9731e+013	5.2500e-015
1.750e+000	3.9837e-006	-2.1204e+013	-2.0956e+013	2.0955e+013	5.2500e-015
1.800e+000	4.0986e-006	-2.2469e+013	-2.2214e+013	2.2214e+013	5.2500e-015
1.850e+000	4.1962e-006	-2.3767e+013	-2.3505e+013	2.3505e+013	5.2500e-015
1.900e+000	4.2811e-006	-2.5093e+013	-2.4826e+013	2.4826e+013	5.2500e-015
1.950e+000	4.3562e-006	-2.6443e+013	-2.6171e+013	2.6171e+013	5.2500e-015
2.000e+000	4.4136e-006	-2.7814e+013	-2.7539e+013	2.7538e+013	5.2500e-015
2.050e+000	4.4724e-006	-2.9203e+013	-2.8923e+013	2.8923e+013	5.2500e-015
2.100e+000	4.5262e-006	-3.0608e+013	-3.0326e+013	3.0326e+013	5.2500e-015
2.150e+000	4.5756e-006	-3.2030e+013	-3.1745e+013	3.1745e+013	5.2500e-015
2.200e+000	4.6214e-006	-3.3467e+013	-3.3178e+013	3.3178e+013	5.2500e-015
2.250e+000	4.6640e-006	-3.4917e+013	-3.4626e+013	3.4626e+013	5.2500e-015
2.300e+000	4.7039e-006	-3.6380e+013	-3.6087e+013	3.6087e+013	5.2500e-015
2.350e+000	4.7413e-006	-3.7855e+013	-3.7559e+013	3.7559e+013	5.2500e-015
