Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12	el Psi 13	el Psi 14	el Psi 15	el Psi 16	el Psi 17
5.100000e+002	1.7518e-014	4.9634e-008	5.5088e-005	2.4494e-003	-3.1824e-013	2.3953e-002	1.8929e-003	7.7572e-002	7.0406e-002	-4.3788e-002	-2.7013e-002	5.4879e-002	-3.6276e-002	-1.1753e-003	3.2091e-002	-4.4275e-002	3.6364e-002
5.200000e+002	6.7668e-015	2.2224e-008	3.0810e-005	1.5889e-003	-4.2344e-013	1.7791e-002	1.5726e-003	6.7417e-002	8.2081e-002	-2.2024e-002	-4.8245e-002	5.1741e-002	-1.2689e-002	-2.7615e-002	4.5608e-002	-3.8217e-002	1.2861e-002
5.300000e+002	2.5990e-015	9.8812e-009	1.7059e-005	1.0169e-003	-5.7807e-013	1.2971e-002	1.2732e-003	5.6871e-002	8.7770e-002	2.6285e-003	-6.0634e-002	3.6653e-002	1.4392e-002	-4.5304e-002	4.2871e-002	-1.7088e-002	-1.6200e-002
5.400000e+002	9.9271e-016	4.3636e-009	9.3551e-006	6.4261e-004	-8.0754e-013	9.2938e-003	1.0071e-003	4.6718e-002	8.8173e-002	2.6970e-002	-6.2681e-002	1.3565e-002	3.7694e-002	-4.9213e-002	2.5402e-002	1.0563e-002	-3.8466e-002
5.500000e+002	3.7713e-016	1.9144e-009	5.0828e-006	4.0115e-004	-1.1516e-012	6.5518e-003	7.7983e-004	3.7470e-002	8.4365e-002	4.8453e-002	-5.4818e-002	-1.2314e-002	5.1569e-002	-3.8766e-002	-4.7999e-004	3.4314e-002	-4.5075e-002
5.600000e+002	1.4252e-016	8.3451e-010	2.7370e-006	2.4753e-004	-1.6731e-012	4.5486e-003	5.9206e-004	2.9403e-002	7.7554e-002	6.5389e-002	-3.8953e-002	-3.5809e-002	5.3175e-002	-1.7482e-002	-2.6209e-002	4.5814e-002	-3.3885e-002
5.700000e+002	5.3588e-017	3.6153e-010	1.4611e-006	1.5104e-004	-2.4723e-012	3.1125e-003	4.4135e-004	2.2613e-002	6.8903e-002	7.6967e-002	-1.7867e-002	-5.2796e-002	4.2761e-002	8.4819e-003	-4.3889e-002	4.1503e-002	-9.7180e-003
5.800000e+002	2.0049e-017	1.5568e-010	7.7353e-007	9.1182e-005	-3.7106e-012	2.1006e-003	3.2342e-004	1.7070e-002	5.9424e-002	8.3138e-002	5.4065e-003	-6.0805e-002	2.3182e-002	3.2274e-002	-4.8601e-002	2.3353e-002	1.8057e-002
5.900000e+002	7.4644e-018	6.6644e-011	4.0620e-007	5.4481e-005	-5.6506e-012	1.3993e-003	2.3322e-004	1.2662e-002	4.9911e-002	8.4421e-002	2.8080e-002	-5.9170e-002	-1.1014e-003	4.8175e-002	-3.9510e-002	-2.3158e-003	3.9334e-002
6.000000e+002	2.7659e-018	2.8366e-011	2.1163e-007	3.2229e-005	-8.7228e-012	9.2048e-004	1.6564e-004	9.2396e-003	4.0932e-002	8.1689e-002	4.7955e-002	-4.8817e-002	-2.5173e-002	5.2838e-002	-1.9643e-002	-2.7265e-002	4.6901e-002
